rebal_idx,date,long,short,long_ret,short_ret,gross,turnover,cost,net,formation,form,n_long,n_short
21,2025-01-14,"XLE,XLU,XLV","XLC,XLP,XLRE",0.028535339098573642,0.07118163288549158,-0.042646293786917935,1.0,0.00004,-0.042686293786917934,21,cross_sectional,,
42,2025-02-13,"XLC,XLF,XLP","XLE,XLI,XLY",-0.04311956046336751,-0.05097201177591056,0.00785245131254305,2.0,0.00008,0.00777245131254305,21,cross_sectional,,
63,2025-03-17,"XLE,XLRE,XLV","XLC,XLK,XLY",-0.0836605788074537,-0.05499476351766056,-0.028665815289793138,1.6666666666666667,0.00006666666666666667,-0.028732481956459804,21,cross_sectional,,
84,2025-04-15,"XLF,XLP,XLU","XLB,XLE,XLK",0.04290914995279804,0.10553754640717787,-0.06262839645437983,1.6666666666666667,0.00006666666666666667,-0.0626950631210465,21,cross_sectional,,
105,2025-05-15,"XLI,XLK,XLY","XLP,XLRE,XLV",0.013365501727816661,0.017277711699610714,-0.003912209971794053,2.0,0.00008,-0.003992209971794053,21,cross_sectional,,
126,2025-06-16,"XLC,XLK,XLV","XLF,XLU,XLY",0.02484619369876336,0.028224740015504086,-0.003378546316740727,1.6666666666666667,0.00006666666666666667,-0.0034452129834073937,21,cross_sectional,,
147,2025-07-17,"XLF,XLI,XLK","XLE,XLRE,XLV",0.0021134099317165664,0.001723665278802929,0.00038974465291363746,1.6666666666666667,0.00006666666666666667,0.00032307798624697077,21,cross_sectional,,
168,2025-08-15,"XLC,XLU,XLY","XLE,XLI,XLRE",0.03429566014757738,0.025271351942251757,0.009024308205325623,1.3333333333333333,0.00005333333333333333,0.008970974871992289,21,cross_sectional,,
189,2025-09-16,"XLC,XLE,XLY","XLP,XLU,XLV",-0.03193024344665448,0.046319272968255554,-0.07824951641491004,1.3333333333333333,0.00005333333333333333,-0.07830284974824338,21,cross_sectional,,
210,2025-10-15,"XLK,XLU,XLV","XLC,XLE,XLY",0.011406725875765966,0.0024522021790914783,0.008954523696674488,2.0,0.00008,0.008874523696674488,21,cross_sectional,,
231,2025-11-13,"XLE,XLK,XLV","XLC,XLRE,XLU",-0.3280267477249215,-0.15644191583029002,-0.1715848318946315,1.0,0.00004,-0.1716248318946315,21,cross_sectional,,
252,2025-12-15,"XLC,XLF,XLI","XLE,XLK,XLU",0.014151951763318219,0.029425954999087622,-0.015274003235769404,1.6666666666666667,0.00006666666666666667,-0.01534066990243607,21,cross_sectional,,
273,2026-01-15,"XLB,XLE,XLI","XLC,XLF,XLV",0.08636683585093419,-0.016942497463020307,0.10330933331395449,1.6666666666666667,0.00006666666666666667,0.10324266664728782,21,cross_sectional,,
294,2026-02-17,"XLB,XLE,XLP","XLF,XLK,XLY",-0.018444627303108585,-0.039078950640040855,0.02063432333693227,1.0,0.00004,0.02059432333693227,21,cross_sectional,,
315,2026-03-18,"XLC,XLE,XLU","XLB,XLP,XLV",-0.007276291158472503,0.026559106497378693,-0.033835397655851196,1.6666666666666667,0.00006666666666666667,-0.03390206432251786,21,cross_sectional,,
336,2026-04-17,"XLB,XLK,XLY","XLE,XLP,XLU",0.021998288927915777,0.031032022495588302,-0.009033733567672526,1.6666666666666667,0.00006666666666666667,-0.009100400234339192,21,cross_sectional,,
21,2025-01-14,"","",,,-0.0674951462426699,1.0,0.00004,-0.0675351462426699,21,time_series,1,10
42,2025-02-13,"","",,,-0.05802403088234964,2.0,0.00008,-0.05810403088234964,21,time_series,10,1
63,2025-03-17,"","",,,-0.05408721051798255,1.8181818181818181,0.00007272727272727273,-0.05415993779070982,21,time_series,2,9
84,2025-04-15,"","",,,-0.07834379317901327,0.5454545454545454,0.000021818181818181818,-0.07836561136083145,21,time_series,1,10
105,2025-05-15,"","",,,-0.028477049808910238,1.6363636363636365,0.00006545454545454546,-0.028542504354364784,21,time_series,10,1
126,2025-06-16,"","",,,-0.01734862685821449,0.5454545454545454,0.000021818181818181818,-0.017370445040032673,21,time_series,9,2
147,2025-07-17,"","",,,0.014605411511296924,1.0909090909090908,0.000043636363636363636,0.01456177514766056,21,time_series,7,4
168,2025-08-15,"","",,,-0.0032272131606435016,0.9090909090909091,0.000036363636363636364,-0.003263576797007138,21,time_series,6,5
189,2025-09-16,"","",,,-0.052894391600676424,1.2727272727272727,0.000050909090909090914,-0.05294530069158551,21,time_series,9,2
210,2025-10-15,"","",,,0.01635031803759662,1.2727272727272727,0.000050909090909090914,0.01629940894668753,21,time_series,4,7
231,2025-11-13,"","",,,-0.16199954918179094,0.5454545454545454,0.000021818181818181818,-0.16202136736360911,21,time_series,3,8
252,2025-12-15,"","",,,-0.01965432398809466,1.2727272727272727,0.000050909090909090914,-0.01970523307900375,21,time_series,6,5
273,2026-01-15,"","",,,0.0674485740264433,1.2727272727272727,0.000050909090909090914,0.06739766493553422,21,time_series,9,2
294,2026-02-17,"","",,,0.0005289062018294446,0.36363636363636365,0.000014545454545454546,0.0005143607472839901,21,time_series,7,4
315,2026-03-18,"","",,,-0.09119699012724472,0.9090909090909091,0.000036363636363636364,-0.09123335376360836,21,time_series,2,9
336,2026-04-17,"","",,,-0.033097889662821844,1.8181818181818181,0.00007272727272727273,-0.03317061693554912,21,time_series,8,3
63,2025-03-17,"XLE,XLU,XLV","XLC,XLK,XLY",-0.07156570881784685,-0.05499476351766056,-0.01657094530018629,1.0,0.00004,-0.016610945300186288,63,cross_sectional,,
84,2025-04-15,"XLP,XLRE,XLU","XLE,XLK,XLY",0.028590031652572383,0.1306838334043047,-0.10209380175173231,1.0,0.00004,-0.10213380175173231,63,cross_sectional,,
105,2025-05-15,"XLI,XLP,XLU","XLE,XLV,XLY",0.0039338514506014706,0.019369921647095167,-0.015436070196493696,0.6666666666666666,0.000026666666666666667,-0.015462736863160362,63,cross_sectional,,
126,2025-06-16,"XLI,XLK,XLY","XLE,XLRE,XLV",0.05312919028661134,-0.01353138423350971,0.06666057452012104,1.0,0.00004,0.06662057452012105,63,cross_sectional,,
147,2025-07-17,"XLI,XLK,XLY","XLP,XLRE,XLV",0.01636414633354133,0.009347989772754675,0.007016156560786654,0.3333333333333333,0.000013333333333333333,0.007002823227453321,63,cross_sectional,,
168,2025-08-15,"XLC,XLK,XLY","XLE,XLP,XLRE",0.048577228192168885,0.012939153968932601,0.03563807422323628,0.6666666666666666,0.000026666666666666667,0.035611407556569614,63,cross_sectional,,
189,2025-09-16,"XLC,XLK,XLY","XLP,XLRE,XLV",-0.004598720057160888,0.01073913372486827,-0.015337853782029157,0.3333333333333333,0.000013333333333333333,-0.015351187115362491,63,cross_sectional,,
210,2025-10-15,"XLC,XLK,XLU","XLB,XLE,XLP",-0.022442373549710275,0.004013752457951177,-0.02645612600766145,1.0,0.00004,-0.02649612600766145,63,cross_sectional,,
231,2025-11-13,"XLE,XLK,XLV","XLB,XLP,XLRE",-0.3280267477249215,-0.15093017872491568,-0.17709656900000584,1.0,0.00004,-0.17713656900000585,63,cross_sectional,,
252,2025-12-15,"XLF,XLI,XLV","XLB,XLE,XLY",0.016398544625261396,0.050193092751008216,-0.03379454812574682,1.3333333333333333,0.00005333333333333333,-0.03384788145908016,63,cross_sectional,,
273,2026-01-15,"XLI,XLP,XLV","XLK,XLU,XLY",0.04361000157377185,-0.010343599043300955,0.05395360061707281,1.0,0.00004,0.05391360061707281,63,cross_sectional,,
294,2026-02-17,"XLI,XLP,XLRE","XLK,XLU,XLY",-0.054462098784026004,-0.01579396024749813,-0.038668138536527875,0.3333333333333333,0.000013333333333333333,-0.038681471869861206,63,cross_sectional,,
315,2026-03-18,"XLB,XLE,XLU","XLF,XLV,XLY",0.0002942502784147501,0.05437675045990872,-0.054082500181493964,1.6666666666666667,0.00006666666666666667,-0.05414916684816063,63,cross_sectional,,
336,2026-04-17,"XLE,XLK,XLRE","XLF,XLV,XLY",0.07082539858140362,-0.02108282290964832,0.09190822149105193,0.6666666666666666,0.000026666666666666667,0.09188155482438527,63,cross_sectional,,
63,2025-03-17,"","",,,-0.024841131464905034,1.0,0.00004,-0.024881131464905032,63,time_series,3,8
84,2025-04-15,"","",,,-0.061602366117904414,0.5454545454545454,0.000021818181818181818,-0.06162418429972259,63,time_series,2,9
105,2025-05-15,"","",,,-0.010934233037864633,0.36363636363636365,0.000014545454545454546,-0.010948778492410088,63,time_series,2,9
126,2025-06-16,"","",,,0.04576303819109128,1.0909090909090908,0.000043636363636363636,0.04571940182745492,63,time_series,8,3
147,2025-07-17,"","",,,-0.014228333988704355,0.36363636363636365,0.000014545454545454546,-0.01424287944324981,63,time_series,10,1
168,2025-08-15,"","",,,-0.01716533519411466,0.5454545454545454,0.000021818181818181818,-0.01718715337593284,63,time_series,9,2
189,2025-09-16,"","",,,0.013380517501230005,0.5454545454545454,0.000021818181818181818,0.013358699319411823,63,time_series,10,1
210,2025-10-15,"","",,,-0.00941382459238366,0.36363636363636365,0.000014545454545454546,-0.009428370046929115,63,time_series,8,3
231,2025-11-13,"","",,,-0.08150823319321707,0.36363636363636365,0.000014545454545454546,-0.08152277864776251,63,time_series,8,3
252,2025-12-15,"","",,,-0.012583251406256327,0.9090909090909091,0.000036363636363636364,-0.012619615042619964,63,time_series,3,8
273,2026-01-15,"","",,,-0.022684027062860712,0.36363636363636365,0.000014545454545454546,-0.022698572517406167,63,time_series,5,6
294,2026-02-17,"","",,,-0.0300997495035128,0.36363636363636365,0.000014545454545454546,-0.030114294958058254,63,time_series,5,6
315,2026-03-18,"","",,,-0.048012633895905335,0.9090909090909091,0.000036363636363636364,-0.04804899753226897,63,time_series,6,5
336,2026-04-17,"","",,,0.038560022769378505,0.36363636363636365,0.000014545454545454546,0.03854547731483305,63,time_series,8,3
126,2025-06-16,"XLC,XLI,XLU","XLE,XLV,XLY",0.03190835527023853,-0.0022856283361791054,0.034193983606417636,1.0,0.00004,0.03415398360641764,126,cross_sectional,,
147,2025-07-17,"XLC,XLI,XLK","XLE,XLV,XLY",0.017936303596464514,0.018265644755498706,-0.0003293411590341924,0.3333333333333333,0.000013333333333333333,-0.00034267449236752577,126,cross_sectional,,
168,2025-08-15,"XLI,XLK,XLU","XLE,XLRE,XLV",0.005826243671576803,0.02388701078056051,-0.018060767108983706,0.6666666666666666,0.000026666666666666667,-0.018087433775650374,126,cross_sectional,,
189,2025-09-16,"XLC,XLK,XLY","XLE,XLP,XLV",-0.004598720057160888,-0.001314375858208298,-0.0032843441989525895,1.0,0.00004,-0.0033243441989525896,126,cross_sectional,,
210,2025-10-15,"XLC,XLK,XLY","XLP,XLRE,XLV",-0.011158793659018987,0.006890831161537658,-0.018049624820556644,0.3333333333333333,0.000013333333333333333,-0.018062958153889978,126,cross_sectional,,
231,2025-11-13,"XLC,XLK,XLV","XLB,XLP,XLRE",-0.14669514967412647,-0.15093017872491568,0.0042350290507892074,0.6666666666666666,0.000026666666666666667,0.00420836238412254,126,cross_sectional,,
252,2025-12-15,"XLC,XLI,XLV","XLB,XLE,XLU",0.0191273793224687,0.05054480788705288,-0.03141742856458418,1.0,0.00004,-0.03145742856458418,126,cross_sectional,,
273,2026-01-15,"XLC,XLI,XLV","XLB,XLE,XLU",0.014785051217701387,0.08911570645956712,-0.07433065524186573,0.0,0.0,-0.07433065524186573,126,cross_sectional,,
294,2026-02-17,"XLI,XLP,XLV","XLK,XLU,XLY",-0.061624863765035766,-0.01579396024749813,-0.04583090351753764,1.0,0.00004,-0.045870903517537635,126,cross_sectional,,
315,2026-03-18,"XLI,XLP,XLV","XLB,XLK,XLY",0.019844494869041423,0.09053007643465254,-0.07068558156561111,0.3333333333333333,0.000013333333333333333,-0.07069891489894445,126,cross_sectional,,
336,2026-04-17,"XLI,XLRE,XLV","XLK,XLU,XLY",-0.01750107740817401,0.016825484246446292,-0.0343265616546203,0.6666666666666666,0.000026666666666666667,-0.03435322832128697,126,cross_sectional,,
126,2025-06-16,"","",,,0.040434718578567355,1.0,0.00004,0.04039471857856736,126,time_series,5,6
147,2025-07-17,"","",,,-0.006743732068693501,0.5454545454545454,0.000021818181818181818,-0.006765550250511683,126,time_series,8,3
168,2025-08-15,"","",,,-0.0009513713969119993,0.5454545454545454,0.000021818181818181818,-0.000973189578730181,126,time_series,7,4
189,2025-09-16,"","",,,0.011352067348999137,0.36363636363636365,0.000014545454545454546,0.011337521894453683,126,time_series,7,4
210,2025-10-15,"","",,,0.02340180121171507,0.5454545454545454,0.000021818181818181818,0.023379983029896887,126,time_series,10,1
231,2025-11-13,"","",,,-0.27645585273453027,0.18181818181818182,7.272727272727273e-6,-0.276463125461803,126,time_series,9,2
252,2025-12-15,"","",,,-0.02203639430088223,0.9090909090909091,0.000036363636363636364,-0.022072757937245866,126,time_series,4,7
273,2026-01-15,"","",,,-0.022684027062860712,0.18181818181818182,7.272727272727273e-6,-0.02269129979013344,126,time_series,5,6
294,2026-02-17,"","",,,-0.0300997495035128,0.36363636363636365,0.000014545454545454546,-0.030114294958058254,126,time_series,5,6
315,2026-03-18,"","",,,-0.027397927206260126,0.36363636363636365,0.000014545454545454546,-0.02741247266080558,126,time_series,3,8
336,2026-04-17,"","",,,-0.02324312980072133,0.36363636363636365,0.000014545454545454546,-0.023257675255266785,126,time_series,5,6
