hypothesis,feature,target,axis,stat_kind,stat,n,shuffle_z,partial,collapse,oos,shuffle_p,fdr_survive,nw_t
H1,edgar_burst_7v90,y_absret_30,magnitude,pearson_FE,0.025921203422793724,106916,7.481468982358136,-0.0015399005346501925,0.05940698468096917,consistent,7.349676423018536e-14,true,
H1,edgar_burst_7v90,y_absret_60,magnitude,pearson_FE,0.024984393238964193,105183,7.3445866157139,-0.003164192582805481,0.12664676514420178,consistent,2.0650148258027912e-13,true,
H1,edgar_burst_7v90,y_fwd_rv,magnitude,pearson_FE,0.042335834925515875,116892,12.881130044427051,0.010112463860465548,0.23886298400060016,consistent,0.0,true,
H1,edgar_burst_7v90,y_logvol,magnitude,pearson_FE,-0.0280874969660229,117540,7.616641678340235,-0.038340297868056115,1.3650307791554335,consistent,2.6201263381153694e-14,true,
H1,edgar_burst_7v90,y_ret_15m,direction,pearson_FE,0.004660948127058463,115473,0.776290698804129,NaN,NaN,consistent,0.43757736366810107,false,
H1,edgar_burst_7v90,y_ret_30m,direction,pearson_FE,0.0014913245884799315,106916,-0.35955766924129734,NaN,NaN,FLIP,0.7191779442150454,false,
H1,edgar_burst_7v90,y_ret_60m,direction,pearson_FE,-0.0014487162366919597,105183,-0.38089269405434584,NaN,NaN,FLIP,0.70328287389819,false,
H1,edgar_cnt_7d,y_absret_30,magnitude,pearson_FE,0.011031228605624723,106916,2.464376309653026,-0.002963227022643098,0.2686216675024009,FLIP,0.013725192682620069,false,
H1,edgar_cnt_7d,y_absret_60,magnitude,pearson_FE,0.009395004826724423,105183,2.1761761436644886,-0.00516627510290673,0.5498959498361382,FLIP,0.0295420920407381,false,
H1,edgar_cnt_7d,y_fwd_rv,magnitude,pearson_FE,0.01937597795193191,116892,4.800062023310521,0.0042117951627079295,0.21737200430123252,consistent,1.5861649913517795e-6,true,
H1,edgar_cnt_7d,y_logvol,magnitude,pearson_FE,-0.01928862862699206,117540,4.8751907868039694,-0.025265239568567976,1.3098515222182454,consistent,1.087033445035246e-6,true,
H1,edgar_cnt_7d,y_ret_15m,direction,pearson_FE,0.0017641794529443745,115473,-0.21125323237120103,NaN,NaN,consistent,0.8326896744838865,false,
H1,edgar_cnt_7d,y_ret_30m,direction,pearson_FE,0.00037522127769183336,106916,-0.6942062015287114,NaN,NaN,FLIP,0.48755290403429274,false,
H1,edgar_cnt_7d,y_ret_60m,direction,pearson_FE,-0.0026175919074282045,105183,-0.02431969797254258,NaN,NaN,consistent,0.9805976010672377,false,
H1,mins_since_8k,y_absret_30,magnitude,pearson_FE,-0.0462346655035074,73668,9.893411585883406,-0.003246511290352752,0.07021811999713655,consistent,0.0,true,
H1,mins_since_8k,y_absret_60,magnitude,pearson_FE,-0.04014282360714504,72389,8.6280066101389,0.0005354657552900561,0.013339015723715767,consistent,0.0,true,
H1,mins_since_8k,y_fwd_rv,magnitude,pearson_FE,-0.06238936539597377,80962,12.886583727996753,0.00033098829213930797,0.005305203699998973,consistent,0.0,true,
H1,mins_since_8k,y_logvol,magnitude,pearson_FE,-0.08678289019139224,81498,20.08045782815573,-0.06597013382418676,0.7601744269947138,consistent,0.0,true,
H1,mins_since_8k,y_ret_15m,direction,pearson_FE,-0.001346954937496548,79845,-0.4527213058912515,NaN,NaN,FLIP,0.6507494356594146,false,
H1,mins_since_8k,y_ret_30m,direction,pearson_FE,-0.0013567601130480469,73668,-0.42858172435995184,NaN,NaN,FLIP,0.6682276477807378,false,
H1,mins_since_8k,y_ret_60m,direction,pearson_FE,0.0014100512685824036,72389,-0.4329428507413972,NaN,NaN,FLIP,0.6650562884843461,false,
H1,mins_since_any,y_absret_30,magnitude,pearson_FE,-0.03100133154039057,79159,7.265107051489439,-0.005639231875665813,0.1819028924070133,consistent,3.7259084706420253e-13,true,
H1,mins_since_any,y_absret_60,magnitude,pearson_FE,-0.026434357599152483,77825,5.969866158803701,0.0003398787466878583,0.012857461938048202,consistent,2.374482832578906e-9,true,
H1,mins_since_any,y_fwd_rv,magnitude,pearson_FE,-0.041714432939770625,86856,9.82590746434669,-0.005018136281544595,0.12029736299640055,consistent,0.0,true,
H1,mins_since_any,y_logvol,magnitude,pearson_FE,-0.006459949192457407,87407,0.8155165433597444,0.01233221641564819,1.9090268434382118,consistent,0.4147766989490922,false,
H1,mins_since_any,y_ret_15m,direction,pearson_FE,-0.0004946683738792851,85694,-0.6584701919665901,NaN,NaN,FLIP,0.5102360447838445,false,
H1,mins_since_any,y_ret_30m,direction,pearson_FE,-0.0064501979660221195,79159,1.189178655271305,NaN,NaN,consistent,0.23436937197617036,false,
H1,mins_since_any,y_ret_60m,direction,pearson_FE,-0.006324248619893853,77825,0.8773868955679252,NaN,NaN,consistent,0.380276528477433,false,
H2,sector_excess_15,y_ret_15m,direction,rankIC_NWt,-0.011048574082573339,415,0.7659394496703221,-0.002331626019769185,NaN,consistent,0.443712331350143,false,-1.6871362015352624
H2,sector_excess_15,y_ret_30m,direction,rankIC_NWt,-0.020099163587699077,415,1.8677414841328555,0.002338469091549208,NaN,consistent,0.06179811329804963,false,-2.856695935432152
H2,sector_excess_15,y_ret_60m,direction,rankIC_NWt,-0.018426357044910618,417,1.6521445598272257,0.010521315987910885,NaN,consistent,0.09850508503530397,false,-2.4747365237037573
H2,sector_excess_15,y_absret_30,magnitude,rankIC_NWt,-0.004650089008620772,415,-0.14306523394331494,NaN,NaN,FLIP,0.8862386617423847,false,-0.6471024418604147
H2,sector_excess_30,y_ret_15m,direction,rankIC_NWt,-0.008171499965192891,415,0.4081073034739398,-0.005200775495687231,NaN,consistent,0.6831948983192409,false,-1.2439930139915854
H2,sector_excess_30,y_ret_30m,direction,rankIC_NWt,-0.011589495481429854,417,0.9800260290631121,0.016895951910913597,NaN,consistent,0.3270732703796435,false,-1.695516038966654
H2,sector_excess_30,y_ret_60m,direction,rankIC_NWt,-0.009937662376201424,417,0.5252686879031327,0.009095414919831952,NaN,consistent,0.599396421276027,false,-1.2840575463570307
H2,sector_excess_30,y_absret_30,magnitude,rankIC_NWt,0.002548779453368257,417,-0.43456743191757174,NaN,NaN,FLIP,0.6638764390390752,false,0.34002093605217804
H2,sector_excess_60,y_ret_15m,direction,rankIC_NWt,-0.0010347959245552453,413,-0.6603856177241398,0.01166670996359456,NaN,FLIP,0.509006399297028,false,-0.14560157011119834
H2,sector_excess_60,y_ret_30m,direction,rankIC_NWt,-0.010707395053188112,413,0.7575803174240195,0.02704134651163906,NaN,consistent,0.4487022668743479,false,-1.4489740829050282
H2,sector_excess_60,y_ret_60m,direction,rankIC_NWt,-0.009770430090872986,415,0.49919922001125816,0.0014785789661674678,NaN,consistent,0.6176390440242636,false,-1.223577262428759
H2,sector_excess_60,y_absret_30,magnitude,rankIC_NWt,0.0021215302409749396,413,-0.5344684049686411,NaN,NaN,consistent,0.5930175031989688,false,0.2639461445723353
