feature,bucket,horizon,n_cell,uncond_ic,cond_ic,incr_ic,pval,shuf_ic_mean,shuf_ic_p95,ic_beats_shuffle,nw_t_5pct,total_pnl_5pct,n_days,n_pos_days,max_day_share,pnl_2pct,pnl_5pct,pnl_10pct,collapse_2to5_ratio,half_incr_H1,half_incr_H2,sign_replicates,pval_incr,fdr_reject,GO_all_gates
F1_ret_15m,RVOL_high,15,209712,0.8183809641457864,0.6507065215446175,-0.16767444260116893,0.0,0.6878425336659234,0.6986199080757354,false,-2.899737083476169,-346106.7972477547,45,11,0.08306759541350094,-431616.33129995596,-346106.7972477547,-335460.0172017031,1.2470611231335937,-0.019830734927093516,-0.1746991360438136,true,,false,false
F1_ret_15m,RVOL_low,15,209212,0.8183809641457864,0.6365319306594245,-0.18184903348636194,0.0,0.69211856561138,0.6997166579304253,false,-3.920788734391519,-93563.90922918466,45,14,0.06801207467630069,-96933.46219250429,-93563.90922918466,-88572.32797267912,1.0360133836976169,-0.03402243123288648,-0.1838564000335724,true,,false,false
F1_ret_15m,RLIQ_high,15,2049,0.8183809641457864,0.04644141085330144,-0.771939553292485,0.035426035856221914,0.0013963168985242655,0.04459971427447505,true,-2.8680189553517352,-271036.74243293743,43,14,0.07556542872852519,-383314.46685926215,-271036.74243293743,-237250.94271064692,1.4142527814438501,0.03972836036673732,-0.7720077187572428,false,,false,false
F1_ret_15m,RLIQ_low,15,1417,0.8183809641457864,0.03906998701145266,-0.7793109771343337,0.14134559151958362,0.000125456294235802,0.052872929083010646,false,-7.985821220357593,-297417.29228620586,43,11,0.07083095310167815,-306603.8538230842,-297417.29228620586,-254498.43844625645,1.030887785529424,-0.023119783814053482,-0.7232234119366705,true,,false,false
F2_quote_imbalance_15m,RVOL_high,15,9312,0.008394213877767334,-0.07833192765462878,-0.0867261415323961,3.4181183393063376e-14,0.007120585255532257,0.03553854691219267,true,-10.315859787338303,-471717.6982142025,43,1,0.09479831023183641,-490299.7716548276,-471717.6982142025,-383650.0683503815,1.0393923601148989,0.03657801559303964,0.4298460513606992,false,,false,false
F2_quote_imbalance_15m,RVOL_low,15,2670,0.008394213877767334,0.0004459232166192434,-0.00794829066114809,0.981623842602857,-0.0009380197828773884,0.03434292243350038,false,-12.078635900918488,-166734.1976333094,42,1,0.053842339920121024,-182689.25065557036,-166734.1976333094,-140734.3807045056,1.0956915452782527,-0.010251859293702583,0.09403192017904993,false,,false,false
F2_quote_imbalance_15m,RLIQ_high,15,2705,0.008394213877767334,0.006918049091877699,-0.001476164785889635,0.7190859759011027,0.0003599362683835532,0.03835977113958443,false,-3.8648600540526217,-172721.7663180515,43,8,0.11421704144044165,-214874.32759732133,-172721.7663180515,-173958.76645180708,1.244048924335626,0.01514215379831288,0.08093408362873411,false,,false,false
F2_quote_imbalance_15m,RLIQ_low,15,2716,0.008394213877767334,-0.012345897178757366,-0.0207401110565247,0.5200802640901271,0.0003205037229313053,0.04031035915937123,false,-12.43153522203643,-352575.74822510686,43,1,0.04931710877597534,-436461.68064086506,-352575.74822510686,-324637.9861036655,1.2379231493885963,-0.01427323504106171,0.06462701947472023,false,,false,false
F3_signed_trade_ratio_15m,RVOL_high,15,15960,0.37363337287450277,0.5694948757749406,0.19586150290043786,0.0,0.0029415265709825176,0.027424681158976616,true,-12.385464168341755,-437624.3605135351,44,2,0.046962792973917485,-514501.7734979195,-437624.3605135351,-429476.6767731977,1.1756698664904572,-0.015873434372646857,0.2044095382260528,false,0.0,true,false
F3_signed_trade_ratio_15m,RVOL_low,15,15792,0.37363337287450277,0.6055156644218811,0.23188229154737833,0.0,-0.002837320797512136,0.020318694938430158,true,-13.046212597167814,-186334.9929530464,44,0,0.0442048997255245,-204459.92280301696,-186334.9929530464,-169755.7923544709,1.0972706712932754,0.05449059220531287,0.2403763034031503,true,0.0,true,false
F3_signed_trade_ratio_15m,RLIQ_high,15,2705,0.37363337287450277,0.004892179551971543,-0.36874119332253125,0.7992256881411808,0.00010443667179595009,0.036071555038927484,false,-9.1189039989508,-167103.4007934895,43,3,0.05603503293552323,-152714.71010152975,-167103.4007934895,-161916.9728097077,0.9138934897576283,0.012919007860744236,-0.5441868706029122,false,,false,false
F3_signed_trade_ratio_15m,RLIQ_low,15,2716,0.37363337287450277,0.02565854059425375,-0.347974832280249,0.18117392796651058,0.0004297403642274335,0.040868489631136394,false,-13.57304762216416,-317669.41205521947,43,0,0.05287604537454074,-329029.13576697116,-317669.41205521947,-304260.24778508133,1.0357595767192627,-0.002784008734043536,-0.48481198624042043,true,,false,false
F4_ret_60m,RVOL_high,15,209241,0.8242022656731525,0.642827948090377,-0.18137431758277545,0.0,0.6894653112081914,0.7019427151877354,false,-2.125939236079443,-313617.28870136064,45,13,0.11922768969514158,-216087.05839872648,-313617.28870136064,-258369.10427185276,0.6890151346359401,-0.013097262529651437,-0.18625176594847948,true,,false,false
F4_ret_60m,RVOL_low,15,208795,0.8242022656731525,0.6414729884732201,-0.18272927719993237,0.0,0.6952967813529244,0.7039262929147178,false,-2.286079689792539,-64551.64985155999,45,13,0.057688529787264235,-64551.64985155999,-64551.64985155999,-57645.91506312367,1.0,0.014994720842922913,-0.18431427375865017,false,,false,false
F4_ret_60m,RLIQ_high,15,1757,0.8242022656731525,0.03580127666731951,-0.788400989005833,0.13341377537056098,0.000589225679919604,0.04129842236980184,false,-2.880600058639538,-286600.8890733555,43,15,0.07271973089000419,-267834.8970991673,-286600.8890733555,-223139.32848038472,0.9345222129810454,0.03526344297998843,-0.8052998216650894,false,,false,false
F4_ret_60m,RLIQ_low,15,927,0.8242022656731525,0.06082903223784952,-0.763373233435303,0.06381429822445855,0.00016892291904227198,0.0636830565941735,false,-4.5615770805511895,-216177.40006511201,43,12,0.05599145449570878,-216177.40006511201,-216177.40006511201,-212912.55139068732,1.0,0.014334452804504167,-0.7281556261295117,false,,false,false
F5_vwap_deviation_15m,RVOL_high,15,207960,0.9063159634602765,0.6655997040396675,-0.24071625942060904,0.0,0.7063362996846151,0.7147532803012044,false,NaN,-2867.3772668575875,3,0,0.3948870464965242,-3942.357931360004,-2867.3772668575875,-2512.7954765198706,1.3749003233468848,NaN,-0.24071625942060904,false,,false,false
F5_vwap_deviation_15m,RVOL_low,15,207603,0.9063159634602765,0.6437315370199787,-0.2625844264402979,0.0,0.700315618362033,0.7294419843975405,false,NaN,-3000.000000000001,3,0,0.33333333333333337,-3000.0,-3000.000000000001,-3000.000000000001,0.9999999999999997,NaN,-0.2625844264402979,false,,false,false
F5_vwap_deviation_15m,RLIQ_high,15,27,0.9063159634602765,-0.045787545787545784,-0.9521035092478223,0.8187305004190597,0.005338827838827836,0.35061050061050053,false,NaN,-4846.698648228477,1,0,1.0,-4846.698648228477,-4846.698648228477,6666.954861208344,1.0,NaN,-0.9521035092478223,false,,false,false
F5_vwap_deviation_15m,RLIQ_low,15,46,0.9063159634602765,-0.09848905334566757,-1.0048050168059441,0.5115061604024134,0.006977489978415048,0.27390070921985815,false,NaN,-5229.967136794574,1,0,1.0,2094.700675442529,-5229.967136794574,-6842.679074934409,NaN,NaN,-1.0048050168059441,false,,false,false
F1_ret_15m,RVOL_high,30,209712,0.7662212196724417,0.32667605714275205,-0.43954516252968967,0.0,0.5934588457929059,0.6086978684151579,false,-1.6297408130155189,-438441.63115876005,45,14,0.2301257703676604,-708001.0673561933,-438441.63115876005,-295722.20082696155,1.6148125931495443,-0.026274532724975232,-0.4495990675946307,true,,false,false
F1_ret_15m,RVOL_low,30,209212,0.7662212196724417,0.650494615234533,-0.11572660443790872,0.0,0.6927922579946951,0.7005634076998862,false,-1.8843873661097768,-59256.837701005476,45,13,0.05922739103237145,-61077.23498942777,-59256.837701005476,-75912.6494678684,1.0307204595967059,-0.009014181819254619,-0.11777854875881999,true,,false,false
F1_ret_15m,RLIQ_high,30,2049,0.7662212196724417,0.09509127649269722,-0.6711299431797445,0.000015470988237163627,-0.0002393829107037637,0.041325785197679724,true,-1.020897807411497,-240710.57517035055,43,19,0.24723567898046575,-552031.5827080599,-240710.57517035055,-198568.0138681366,2.293341629537414,0.026352420321221464,-0.6290784305552836,false,,false,false
F1_ret_15m,RLIQ_low,30,1417,0.7662212196724417,0.04503448420600641,-0.7211867354664353,0.08993143620423946,0.0018639820398735532,0.05147463555466244,false,-4.439922544075545,-227058.47472217024,43,16,0.07470459433705849,-230167.30299169544,-227058.47472217024,-237040.90337301002,1.0136917517539443,-0.01856171139087626,-0.6771318492326002,true,,false,false
F2_quote_imbalance_15m,RVOL_high,30,9312,-0.06261247298343058,-0.10694142472743748,-0.0443289517440069,3.1186935403932993e-25,-0.007875067084662036,0.038159909363333466,true,-5.641334475249367,-489401.2424028439,43,5,0.16403681431290537,-475622.5513532769,-489401.2424028439,-376300.9850253118,0.9718458192261284,0.03340552018728496,0.5088067027543992,false,,false,false
F2_quote_imbalance_15m,RVOL_low,30,2670,-0.06261247298343058,0.0003662279753424773,0.06297870095877306,0.9849075891719333,-0.0002902718966432075,0.03792983974512942,false,-10.345175400256402,-173212.3464130184,42,3,0.06360069929584333,-200797.22813985424,-173212.3464130184,-155065.93584303514,1.159254708443593,-0.02056909599915885,0.23359765304342292,false,0.9849075891719333,false,false
F2_quote_imbalance_15m,RLIQ_high,30,2705,-0.06261247298343058,-0.0020991365017610625,0.06051333648166951,0.9130952936025454,0.0007625968306765801,0.039860340238565876,false,-2.5495244268382518,-166548.50745590465,43,12,0.08711698035608836,-221522.61897248618,-166548.50745590465,-182022.92806429224,1.3300786801174815,0.0027030624142133754,0.20424795810305904,true,0.9130952936025454,false,false
F2_quote_imbalance_15m,RLIQ_low,30,2716,-0.06261247298343058,-0.02529626388755901,0.037316209095871564,0.18741741092737058,-0.00017622845343982205,0.038013950118793556,false,-13.198194396371145,-341884.99762233737,43,1,0.047698912251440385,-433350.26838490186,-341884.99762233737,-322282.7070994466,1.2675322737138686,-0.01789992915321182,0.1711762537744886,false,0.18741741092737058,false,false
F3_signed_trade_ratio_15m,RVOL_high,30,15960,-0.1926375082071326,-0.47354810676221737,-0.28091059855508477,0.0,0.0014430987461838956,0.028067675448189763,true,-9.944643670158746,-449336.82417081104,44,3,0.049395872542736044,-553992.4308374132,-449336.82417081104,-439173.10237792874,1.2329112617460845,-0.022932420787415492,-0.40932720904479764,true,,false,false
F3_signed_trade_ratio_15m,RVOL_low,30,15792,-0.1926375082071326,-0.5022141574656633,-0.30957664925853073,0.0,-0.001890319663999232,0.020273336627446948,true,-13.337121644567025,-173820.21475123873,44,2,0.0536440751241773,-182645.38648570527,-173820.21475123873,-165481.86892680335,1.0507718377122972,0.0564830228245285,-0.45354750496751356,false,,false,false
F3_signed_trade_ratio_15m,RLIQ_high,30,2705,-0.1926375082071326,0.007771730303661652,0.20040923851079426,0.6861631246758911,-0.0028903861862787207,0.03874802198301087,false,-6.163036688458749,-178139.17226928874,43,3,0.08201165642741497,-156411.29103251823,-178139.17226928874,-166084.18826399377,0.8780286168393946,0.01255570531538227,0.2596301032290761,true,0.6861631246758911,false,false
F3_signed_trade_ratio_15m,RLIQ_low,30,2716,-0.1926375082071326,0.016791959685332553,0.20942946789246517,0.38161831530366014,0.0011655492383856843,0.037618687389359154,false,-10.320169704812256,-309176.9810870884,43,2,0.051518703005263726,-304488.21024303476,-309176.9810870884,-300594.4246649822,0.9848346703316412,-0.011603554537968543,0.30488884880520184,false,0.38161831530366014,false,false
F4_ret_60m,RVOL_high,30,209241,0.7729621223103303,0.33026773091102263,-0.4426943913993077,0.0,0.5848172371596614,0.6102035471574658,false,0.40801089143868824,103119.06323454551,45,20,0.15983935904241497,89779.74591122157,103119.06323454551,-25967.090798467663,0.8706415971508246,-0.0022268151624194182,-0.4513705067299061,true,,false,false
F4_ret_60m,RVOL_low,30,208795,0.7729621223103303,0.6544175535846405,-0.11854456872568986,0.0,0.6899221442904203,0.7043320387935568,false,-0.7685774408183652,-27168.11750974797,45,21,0.07235565597378879,-27168.11750974797,-27168.11750974797,-41643.994633852606,1.0,-0.0026068004405789616,-0.11953677391596429,true,,false,false
F4_ret_60m,RLIQ_high,30,1757,0.7729621223103303,0.09611555278238991,-0.6768465695279404,0.00005226267205870238,0.0010754391664242124,0.047792566762168615,true,0.8852699049545973,175142.6192955859,43,22,0.18803793903206856,44492.853864848395,175142.6192955859,29380.628185683734,0.2540378466634577,0.027991571963385642,-0.6648968036499092,false,,false,false
F4_ret_60m,RLIQ_low,30,927,0.7729621223103303,0.04954600786272553,-0.7234161144476048,0.1313662703835733,0.0021856096842014948,0.06712956468671658,false,-2.9431425086924623,-147741.65124470796,43,14,0.07552761986195465,-147741.65124470796,-147741.65124470796,-146092.65545863096,1.0,-0.020208409603630524,-0.7006615009442535,true,,false,false
F5_vwap_deviation_15m,RVOL_high,30,207960,0.8783344601694771,0.33156709302331017,-0.546767367146167,0.0,0.5920822672642153,0.6195014753196291,false,NaN,-2925.821383511407,3,0,0.35857223496401236,-4090.0702262762115,-2925.821383511407,-2542.018759801227,1.397922049967226,NaN,-0.546767367146167,false,,false,false
F5_vwap_deviation_15m,RVOL_low,30,207603,0.8783344601694771,0.9999999999999999,0.12166553983052275,0.0,0.6950534063555817,0.7296232628755192,true,NaN,-3000.0,3,0,0.33333333333333337,-3000.0,-3000.0,-3000.0,1.0,NaN,0.12166553983052275,false,0.0,true,false
F5_vwap_deviation_15m,RLIQ_high,30,27,0.8783344601694771,-0.27777777777777773,-1.1561122379472548,0.14823686090216898,-0.008760683760683759,0.3608363858363859,false,NaN,-1994.274093707416,1,0,1.0,-1994.274093707416,-1994.274093707416,-101.89036368811321,1.0,NaN,-1.1561122379472548,false,,false,false
F5_vwap_deviation_15m,RLIQ_low,30,46,0.8783344601694771,-0.08689485044711685,-0.965229310616594,0.5628700857060506,-0.005075547332716617,0.27367252543940784,false,NaN,-4675.638187779271,1,0,1.0,1478.1989962123089,-4675.638187779271,-10353.865015720858,NaN,NaN,-0.965229310616594,false,,false,false
